Timestamp,BMP_Temperature_C,BMP_Pressure_hPa,BMP_Altitude_m,DHT_Temperature_C,DHT_Humidity_percent,BH1750_Light_lx
2025-03-18 23:52:39.152460+00:00,0.5,774.965,2205.06643551405,1.5,71,1733.75
2025-03-18 23:52:44.230881+00:00,0.5,774.905,2205.32504213604,1.5,71,1703.54166666667
2025-03-18 23:52:44.234198+00:00,0.5,774.8,2205.7905486475,1.4,71,1690.83333333333
2025-03-18 23:52:50.369377+00:00,0.5,774.925,2205.37676346042,1.4,71,1696.875
2025-03-18 23:52:55.589588+00:00,0.6,774.94,2205.53193067618,1.4,71,1697.70833333333
2025-03-18 23:52:55.598228+00:00,0.6,774.89,2205.89399778176,1.5,71,1711.25
2025-03-18 23:53:01.976180+00:00,0.6,774.92,2205.94572397041,1.4,71,1699.16666666667
2025-03-18 23:53:07.054632+00:00,0.6,774.86,2205.27332135206,1.4,71,1712.08333333333
2025-03-18 23:53:07.058658+00:00,0.6,774.89,2205.27331919036,1.4,71,1704.58333333333
2025-03-18 23:53:13.177291+00:00,0.6,774.89,2205.79054918799,1.45,71,1720.83333333333
2025-03-18 23:53:18.257990+00:00,0.6,774.865,2205.79054918799,1.45,71,1721.25
2025-03-18 23:53:18.263346+00:00,0.6,774.98,2204.9629944865,1.4,71,1727.08333333333
2025-03-18 23:53:19.566230+00:00,0.6,774.83,2205.89399778176,1.4,71,1719.16666666667
2025-03-18 23:53:20.692972+00:00,0.5,774.86,2206.41125966863,1.4,71,1725.83333333333
2025-03-18 23:53:23.269621+00:00,0.6,774.93,2205.89399778176,1.5,71,1750.83333333333
2025-03-18 23:53:25.380692+00:00,0.6,774.86,2205.27331919036,1.4,71,1747.5
2025-03-18 23:53:27.491380+00:00,0.6,774.9,2205.89399778176,1.5,71,1727.5
2025-03-18 23:53:29.602435+00:00,0.6,774.8,2205.27331919036,1.4,71,1720.41666666667
2025-03-18 23:53:37.374652+00:00,0.6,774.86,2206.72162977411,1.5,71,1724.58333333333
2025-03-18 23:53:45.187143+00:00,0.6,774.965,2205.32504754036,1.5,72,1711.875
2025-03-18 23:53:50.265231+00:00,0.6,774.925,2205.22160110849,1.45,72,1708.54166666667
2025-03-18 23:53:50.270542+00:00,0.6,774.86,2205.48020773048,1.5,72,1707.91666666667
2025-03-18 23:53:56.651807+00:00,0.6,774.95,2205.68710059422,1.5,72,1703.125
2025-03-18 23:54:01.747558+00:00,0.6,774.9,2206.10089929332,1.5,71,1701.66666666667
2025-03-18 23:54:01.755589+00:00,0.6,774.86,2206.10089929332,1.5,71,1697.91666666667
2025-03-18 23:54:07.874683+00:00,0.6,774.975,2205.84227321463,1.5,72,1689.79166666667
2025-03-18 23:54:12.953318+00:00,0.6,774.84,2206.66990088261,1.5,71,1681.04166666667
2025-03-18 23:54:12.957258+00:00,0.6,774.89,2206.3078051291,1.5,71,1692.08333333333
2025-03-18 23:54:19.349572+00:00,0.6,774.84,2205.73882570182,1.5,72,1694.16666666667
2025-03-18 23:54:24.428057+00:00,0.6,774.945,2204.85955994352,1.5,72,1684.58333333333
2025-03-18 23:54:24.436594+00:00,0.6,774.89,2204.85955508014,1.5,71,1684.16666666667
2025-03-18 23:54:30.560513+00:00,0.6,774.93,2205.73883543052,1.55,71.5,1686.45833333333
2025-03-18 23:54:35.644226+00:00,0.6,774.915,2205.94573369956,1.55,72,1688.95833333333
2025-03-18 23:54:35.649819+00:00,0.6,774.82,2205.48020773048,1.6,72,1687.91666666667
2025-03-18 23:54:42.036447+00:00,0.6,774.895,2206.20435167067,1.6,72,1686.875
2025-03-18 23:54:47.115346+00:00,0.6,774.86,2205.89399778176,1.6,71,1678.125
2025-03-18 23:54:47.118748+00:00,0.6,774.96,2205.58365362188,1.6,71,1675.41666666667
2025-03-18 23:54:53.237291+00:00,0.6,774.935,2205.42848640612,1.6,72,1669.79166666667
2025-03-18 23:54:58.316100+00:00,0.6,774.95,2205.22160110849,1.6,72,1660.625
2025-03-18 23:54:58.321463+00:00,0.6,774.94,2205.58365362188,1.6,72,1650.83333333333
2025-03-18 23:55:04.708444+00:00,0.6,774.88,2205.27332783718,1.6,71.5,1655
2025-03-18 23:55:09.788600+00:00,0.6,774.91,2205.89400642979,1.6,71,1656.45833333333
2025-03-18 23:55:09.793052+00:00,0.6,774.92,2204.85955508014,1.6,71,1658.33333333333
2025-03-18 23:55:15.912246+00:00,0.6,774.965,2205.22159894681,1.6,71,1658.33333333333
2025-03-18 23:55:20.991085+00:00,0.6,774.955,2205.63537710805,1.65,71.5,1654.79166666667
2025-03-18 23:55:20.998768+00:00,0.6,774.92,2205.58365362188,1.7,71,1650.83333333333
2025-03-18 23:55:27.391302+00:00,0.6,774.895,2205.63537710805,1.7,71,1650.625
2025-03-18 23:55:32.471757+00:00,0.6,774.855,2205.32504105517,1.7,72,1645.625
2025-03-18 23:55:32.475945+00:00,0.6,774.86,2206.51471528929,1.7,72,1641.66666666667
2025-03-18 23:55:38.594723+00:00,0.7,774.91,2205.79055080946,1.7,71.5,1641.45833333333
2025-03-18 23:55:43.673328+00:00,0.7,774.935,2204.9629944865,1.7,72,1639.58333333333
2025-03-18 23:55:43.682296+00:00,0.7,774.92,2205.48020773048,1.7,72,1635
2025-03-18 23:55:50.074609+00:00,0.7,774.97,2205.22159894681,1.7,72,1629.79166666667
2025-03-18 23:55:55.155016+00:00,0.7,774.865,2205.89399994377,1.7,72,1625.20833333333
2025-03-18 23:55:55.159133+00:00,0.7,774.86,2204.65267950963,1.7,72,1624.16666666667
2025-03-18 23:56:01.416453+00:00,0.7,774.885,2205.63538035087,1.7,72,1620.20833333333
2025-03-18 23:56:06.497530+00:00,0.7,774.91,2205.37676291998,1.8,72,1620.625
2025-03-18 23:56:06.505268+00:00,0.7,774.88,2205.06643497364,1.8,72,1624.58333333333
2025-03-18 23:56:12.880872+00:00,0.7,774.985,2204.65268004998,1.8,72,1625
2025-03-18 23:56:17.960621+00:00,0.7,774.96,2204.80783591733,1.8,72,1620
2025-03-18 23:56:17.965032+00:00,0.7,774.96,2205.7905486475,1.8,72,1625.83333333333
2025-03-18 23:56:24.100662+00:00,0.7,774.945,2205.94572613245,1.8,72,1611.66666666667
2025-03-18 23:56:29.179553+00:00,0.7,774.945,2205.73882570182,1.8,72,1607.08333333333
2025-03-18 23:56:29.182786+00:00,0.7,774.88,2206.41125966863,1.8,72,1607.08333333333
2025-03-18 23:56:35.558428+00:00,0.7,774.87,2205.32504105517,1.8,72,1615.625
2025-03-18 23:56:40.644704+00:00,0.7,774.91,2205.68710113469,1.8,72,1615
2025-03-18 23:56:40.648744+00:00,0.7,775.02,2205.27331919036,1.9,72,1630
2025-03-18 23:56:46.778960+00:00,0.7,774.985,2205.16987870324,1.8,71.5,1619.16666666667
2025-03-18 23:56:51.859103+00:00,0.7,774.91,2205.89399778176,1.8,71,1615.20833333333
2025-03-18 23:56:51.860440+00:00,0.7,774.96,2205.27331919036,1.8,71,1607.91666666667
2025-03-18 23:56:58.235617+00:00,0.7,774.88,2205.89399832226,1.8,71,1587.29166666667
2025-03-18 23:57:03.314272+00:00,0.7,774.865,2205.89399832226,1.8,71,1587.91666666667
2025-03-18 23:57:03.319665+00:00,0.7,774.82,2205.16987654159,1.8,71,1596.66666666667
2025-03-18 23:57:09.455540+00:00,0.7,774.925,2205.32504754036,1.8,71,1594.58333333333
